カード名,レアリティ,型番,画像URL,wp_id,source
「決戦の刻」1BOX,OP-16,OP-16,https://minnano-toreka.com/wp-content/uploads/2026/08/OP-16_minnanotoreca-a25650.webp,25650,手動追加
ルギア LV.43 : 旧裏,,No.249,https://minnano-toreka.com/wp-content/uploads/2026/08/No-249_minnanotoreca-76951.webp,27113,カードラッシュ
メガカイリューex,MUR,250/193,https://minnano-toreka.com/wp-content/uploads/2026/08/250-193_minnanotoreca-050010.webp,28288,公式
リザードンEX,P,075/XY-P,https://minnano-toreka.com/wp-content/uploads/2026/08/075-XY-P_minnanotoreca-030606.webp,28289,公式
ハッサム ★:1ED,★,074/087,https://minnano-toreka.com/wp-content/uploads/2026/08/074-087_minnanotoreca-110751.webp,27114,スニダン
ランターン ★:1ED,★,045/087,https://minnano-toreka.com/wp-content/uploads/2026/08/045-087_minnanotoreca-91883.webp,27115,スニダン
オーヤマのピカチュウ,,PMCG-EX,https://minnano-toreka.com/wp-content/uploads/2026/08/PMCG-EX_minnanotoreca-92150.webp,27116,カードラッシュ
ヤドキング,プロモ,030,https://minnano-toreka.com/wp-content/uploads/2026/08/030_minnanotoreca-453460.webp,27117,カードラッシュ
レックウザ ★,,DP5 #442,https://minnano-toreka.com/wp-content/uploads/2026/08/DP5-442_minnanotoreca-446946.webp,27118,スニダン
ゲンガーVMAX,SA,020/019,https://minnano-toreka.com/wp-content/uploads/2026/08/020-019_minnanotoreca-91178.webp,28290,公式
ゲンシグラードンEX SR,,074/070,https://minnano-toreka.com/wp-content/uploads/2026/08/074-070_minnanotoreca-91535.webp,28291,公式
フウロ,SR,076/070,https://minnano-toreka.com/wp-content/uploads/2026/08/076-070_minnanotoreca-91599.webp,27119,カードラッシュ
わるいフシギバナ ★,,041/048,https://minnano-toreka.com/wp-content/uploads/2026/08/041-048_minnanotoreca-91735.webp,27120,カードラッシュ
シャワーズδ-デルタ種 R,,030/086,https://minnano-toreka.com/wp-content/uploads/2026/08/030-086_minnanotoreca-91996.webp,27121,カードラッシュ
ラフレシア ★,,004/087,https://minnano-toreka.com/wp-content/uploads/2026/08/004-087_minnanotoreca-91868.webp,27122,スニダン
ガブリアス&ギラティナGX,HR,066/054,https://minnano-toreka.com/wp-content/uploads/2026/08/066-054_minnanotoreca-104612.webp,27123,カードラッシュ
イーブイ,P,306,https://minnano-toreka.com/wp-content/uploads/2026/08/306_minnanotoreca-407433.webp,28292,公式
ピカチュウ,,003/009,https://minnano-toreka.com/wp-content/uploads/2026/08/003-009_minnanotoreca-450656.webp,27124,カードラッシュ
ブラッキー,P,025,https://minnano-toreka.com/wp-content/uploads/2026/08/025_minnanotoreca-452558.webp,27125,カードラッシュ
ピカチュウ,AR,151 C 171/151,https://minnano-toreka.com/wp-content/uploads/2026/08/151-C-171-151_minnanotoreca-607471.webp,27126,カードラッシュ
ニャース ●,,029/128,https://minnano-toreka.com/wp-content/uploads/2026/08/029-128_minnanotoreca-431060.webp,27127,スニダン
ゲンガー＆ミミッキュGX,SR,102/095,https://minnano-toreka.com/wp-content/uploads/2026/08/102-095_minnanotoreca-149334.webp,27128,カードラッシュ
ヤドン,,014/018,https://minnano-toreka.com/wp-content/uploads/2026/08/014-018_minnanotoreca-92013.webp,27129,カードラッシュ
エーフィ ★ :1ED,,046/092,https://minnano-toreka.com/wp-content/uploads/2026/08/046-092_minnanotoreca-91777.webp,32380,cardrush
カツラのリザードン R: 旧裏,,PMCG-G2 No.006,https://minnano-toreka.com/wp-content/uploads/2026/08/PMCG-G2-No.006_minnanotoreca-92141.webp,32381,cardrush
アイリス,SR,082/076,https://minnano-toreka.com/wp-content/uploads/2026/08/082-076_minnanotoreca-91575.webp,32382,cardrush
ブラッキー,P,025/e-P,https://minnano-toreka.com/wp-content/uploads/2026/08/025-e-P_minnanotoreca-452558.webp,32383,cardrush
ホウオウex ☆,,020/106,https://minnano-toreka.com/wp-content/uploads/2026/08/020-106_minnanotoreca-438206.webp,32384,cardrush
ミュウツーEX,プロモ,XY-P,https://minnano-toreka.com/wp-content/uploads/2026/08/XY-P_minnanotoreca-91387.webp,32394,snkrdunk
シャワーズ ★ :1ED,,027/088,https://minnano-toreka.com/wp-content/uploads/2026/08/027-088_minnanotoreca-91905.webp,32395,snkrdunk
スイクン ★ :1ED,,031/092,https://minnano-toreka.com/wp-content/uploads/2026/08/031-092_minnanotoreca-91767.webp,32396,snkrdunk
サナ,,185/171,https://minnano-toreka.com/wp-content/uploads/2026/08/185-171_minnanotoreca-91450.webp,32397,snkrdunk
メガリザードンYex MUR仕様,,766/742,https://minnano-toreka.com/wp-content/uploads/2026/08/766-742_minnanotoreca-742562.webp,32389,official
サンダース,P,186/BW-P,https://minnano-toreka.com/wp-content/uploads/2026/08/186-BW-P_minnanotoreca-91566.webp,32390,official
ポケモンセンターのお姉さん SR :1ED,,086/080,https://minnano-toreka.com/wp-content/uploads/2026/08/086-080_minnanotoreca-91543.webp,32391,official
拡張パック『超電ブレイカー』(SV8)【未開封BOX】,,,https://minnano-toreka.com/wp-content/uploads/2026/08/none_minnanotoreca-60019.webp,32392,cardrush
拡張パック『ロケット団の栄光』(SV10)【未開封BOX】,,,https://minnano-toreka.com/wp-content/uploads/2026/08/none_minnanotoreca-65254.webp,32393,cardrush
